CPU,Min_Cores,Max_Cores,Max_Clock(MHz),Process(NM),TDP(Watts),Release,Release_Year,CPU_HPI
Celeron 2.30,1,1,2300,130.0,73,"Mar 31st, 2003",2003,17.692307692307693
Celeron 2.20,1,1,2200,130.0,73,"Nov 20th, 2002",2002,16.923076923076923
Celeron 2.10,1,1,2100,130.0,73,"Nov 20th, 2002",2002,16.153846153846153
Celeron 2.0,1,1,2000,130.0,73,"Sep 18th, 2002",2002,15.384615384615385
Celeron 2.0,1,1,2000,130.0,73,"Sep 18th, 2002",2002,15.384615384615385
Celeron 1047UE,2,2,1400,22.0,17,"Jan 20th, 2013",2013,127.27272727272727
Celeron 1037U,2,2,1800,22.0,17,"Jan 20th, 2013",2013,163.63636363636363
Celeron 1020M,2,2,2100,22.0,35,"Jan 20th, 2013",2013,190.9090909090909
Celeron 1020E,2,2,2200,22.0,35,"Jan 20th, 2013",2013,200.0
Celeron 1020E,2,2,2200,22.0,35,"Jan 20th, 2013",2013,200.0
Celeron 1007U,2,2,1500,22.0,17,"Jan 20th, 2013",2013,136.36363636363637
Celeron 1000M,2,2,1800,22.0,35,"Jan 20th, 2013",2013,163.63636363636363
C-70,2,2,1000,40.0,9,"Sep 1st, 2012",2012,50.0
C-60,2,2,1000,40.0,9,"Aug 22nd, 2011",2011,50.0
C-50,2,2,1000,40.0,9,"Jan 4th, 2011",2011,50.0
C-30,1,1,1200,40.0,9,"Jan 4th, 2011",2011,30.0
Aubrey Isle,32,128,1200,45.0,300,"May 31st, 2010",2010,3413.3333333333335
Atom Z670,1,1,1500,45.0,3,"Apr 11th, 2011",2011,33.333333333333336
Atom Z650,1,1,1200,45.0,3,"Apr 11th, 2011",2011,26.666666666666668
Atom Z625,1,1,1900,45.0,2,"May 4th, 2010",2010,42.22222222222222
Atom Z620,1,1,900,45.0,1,"May 4th, 2010",2010,20.0
Atom Z615,1,1,1600,45.0,2,"May 4th, 2010",2010,35.55555555555556
Atom Z612,1,1,900,45.0,1,"May 4th, 2010",2010,20.0
Atom Z610,1,1,800,45.0,1,"May 4th, 2010",2010,17.77777777777778
Atom Z605,1,1,1000,45.0,2,"May 4th, 2010",2010,22.22222222222222
Atom Z600,1,1,1200,45.0,1,"May 4th, 2010",2010,26.666666666666668
Atom Z560,1,2,2133,45.0,2,"Jun 1st, 2010",2010,94.8
Atom Z550,1,2,2000,45.0,2,"Apr 8th, 2009",2009,88.88888888888889
Atom Z540,1,2,1867,45.0,2,"Apr 2nd, 2008",2008,82.97777777777777
Atom Z530P,1,2,1600,45.0,2,"Mar 2nd, 2009",2009,71.11111111111111
Atom Z530,1,2,1600,45.0,2,"Apr 2nd, 2008",2008,71.11111111111111
Atom Z520PT,1,2,1334,45.0,2,"Mar 2nd, 2009",2009,59.28888888888889
Atom Z520,1,2,1334,45.0,2,"Apr 2nd, 2008",2008,59.28888888888889
Atom Z515,1,1,1200,45.0,1,"Apr 8th, 2009",2009,26.666666666666668
Atom Z510PT,1,2,1100,45.0,2,"Mar 2nd, 2009",2009,48.888888888888886
Atom Z510P,1,2,1100,45.0,2,"Mar 2nd, 2009",2009,48.888888888888886
Atom Z510,1,1,1100,45.0,2,"Apr 2nd, 2008",2008,24.444444444444443
Atom Z500,1,1,800,45.0,1,"Apr 2nd, 2008",2008,17.77777777777778
Atom Z3770,4,4,2400,22.0,8,"Sep 27th, 2013",2013,436.3636363636364
Atom Z3740,4,4,1333,22.0,2,"Sep 27th, 2013",2013,242.36363636363637
Atom Z2760,2,2,1800,32.0,3,"Sep 27th, 2012",2012,112.5
Atom Z2580,2,2,2000,32.0,3,"Feb 27th, 2013",2013,125.0
Atom Z2560,2,2,1600,32.0,3,"Feb 27th, 2013",2013,100.0
Atom Z2520,2,2,1200,32.0,3,"Feb 27th, 2013",2013,75.0
Atom Z2480,1,1,1400,32.0,3,"Jan 1st, 2013",2013,43.75
Atom Z2460,1,1,1300,32.0,3,"Jan 1st, 2012",2012,40.625
Atom Z2420,1,1,1200,32.0,3,"Jan 1st, 2013",2013,37.5
Atom S1260,2,4,2000,32.0,9,"Dec 11th, 2012",2012,250.0
Atom S1240,2,4,1600,32.0,6,"Dec 11th, 2012",2012,200.0
Atom S1220,2,4,1600,32.0,8,"Dec 11th, 2012",2012,200.0
Atom N570,2,4,1667,45.0,9,"Mar 1st, 2011",2011,148.17777777777778
Atom N550,2,4,1500,45.0,9,"Aug 23rd, 2010",2010,133.33333333333334
Atom N475,1,2,1834,45.0,7,"Jun 1st, 2010",2010,81.5111111111111
Atom N470,1,2,1834,45.0,7,"Mar 1st, 2010",2010,81.5111111111111
Atom N455,1,2,1667,45.0,7,"Jun 1st, 2010",2010,74.08888888888889
Atom N450,1,2,1667,45.0,6,"Dec 21st, 2009",2009,74.08888888888889
Atom N2800,2,4,1867,32.0,7,"Dec 1st, 2011",2011,233.375
Atom N280,1,2,1667,45.0,3,"Jun 3rd, 2008",2008,74.08888888888889
Atom N270,1,2,1600,45.0,3,"Jun 3rd, 2008",2008,71.11111111111111
Atom N2600,2,4,1600,32.0,4,"Dec 1st, 2011",2011,200.0
Atom E680T,1,2,1600,45.0,4,"Sep 14th, 2010",2010,71.11111111111111
Atom E680,1,2,1600,45.0,4,"Sep 14th, 2010",2010,71.11111111111111
Atom E665CT,1,2,1300,45.0,7,"Nov 22nd, 2010",2010,57.77777777777778
Atom E665C,1,2,1300,45.0,4,"Nov 22nd, 2010",2010,57.77777777777778
Atom E660T,1,2,1300,45.0,3,"Sep 14th, 2010",2010,57.77777777777778
Atom E660,1,2,1300,45.0,3,"Sep 14th, 2010",2010,57.77777777777778
Atom E645CT,1,2,1000,45.0,4,"Nov 22nd, 2010",2010,44.44444444444444
Atom E645C,1,2,1000,45.0,4,"Nov 22nd, 2010",2010,44.44444444444444
Atom E640T,1,2,1000,45.0,3,"Sep 14th, 2010",2010,44.44444444444444
Atom E640,1,2,1000,45.0,3,"Sep 14th, 2010",2010,44.44444444444444
Atom E625CT,1,2,600,45.0,3,"Nov 22nd, 2010",2010,26.666666666666668
Atom E625C,1,2,600,45.0,3,"Nov 22nd, 2010",2010,26.666666666666668
Atom E620T,1,2,600,45.0,3,"Sep 14th, 2010",2010,26.666666666666668
Atom E620,1,2,600,45.0,3,"Sep 14th, 2010",2010,26.666666666666668
Atom E3845,4,4,1910,22.0,10,"Oct 8th, 2013",2013,347.27272727272725
Atom E3827,2,2,1750,22.0,8,"Oct 8th, 2013",2013,159.0909090909091
Atom E3826,2,2,1467,22.0,7,"Oct 8th, 2013",2013,133.36363636363637
Atom E3825,2,2,1333,22.0,6,"Oct 8th, 2013",2013,121.18181818181819
Atom E3815,1,1,1467,22.0,5,"Oct 8th, 2013",2013,66.68181818181819
Atom D525,2,4,1834,45.0,13,"Jun 21st, 2010",2010,163.0222222222222
Atom D510,2,4,1667,45.0,13,"Dec 21st, 2009",2009,148.17777777777778
Atom D425,1,2,1834,45.0,10,"Jun 21st, 2010",2010,81.5111111111111
Atom D410,1,2,1667,45.0,10,"Jan 4th, 2010",2010,74.08888888888889
Atom D2700,2,4,2133,32.0,10,"Nov 1st, 2011",2011,266.625
Atom D2550,2,4,1867,32.0,10,"Nov 1st, 2011",2011,233.375
Atom D2500,2,4,1867,32.0,10,"Nov 1st, 2011",2011,233.375
Atom CE4150,1,1,1200,45.0,7,"Sep 24th, 2009",2009,26.666666666666668
Atom CE4130,1,1,1200,45.0,7,"Sep 24th, 2009",2009,26.666666666666668
Atom CE4100,1,1,1200,45.0,7,"Sep 24th, 2009",2009,26.666666666666668
Atom 330,2,4,1600,45.0,8,"Jun 3rd, 2008",2008,142.22222222222223
Atom 230,1,2,1600,45.0,4,"Jun 3rd, 2008",2008,71.11111111111111
Athlon XP-M 3000+,1,1,2200,130.0,72,"Mar 12th, 2003",2003,16.923076923076923
Athlon XP-M 2800+ (72W),1,1,2133,130.0,72,"Jul 13th, 2004",2004,16.407692307692308
Athlon XP-M 2800+,1,1,2133,130.0,55,"Jul 13th, 2004",2004,16.407692307692308
Athlon XP-M 2600+ (72W),1,1,2000,130.0,72,"Mar 12th, 2003",2003,15.384615384615385
Athlon XP-M 2600+,1,1,2000,130.0,45,"Mar 12th, 2003",2003,15.384615384615385
Athlon XP-M 2500+ (72W),1,1,1867,130.0,72,"Mar 12th, 2003",2003,14.361538461538462
Athlon XP-M 2500+ (35W),1,1,1867,130.0,35,"Mar 12th, 2003",2003,14.361538461538462
Athlon XP-M 2500+,1,1,1862,130.0,45,"Mar 12th, 2003",2003,14.323076923076924
Athlon XP-M 2400+ (72W),1,1,1800,130.0,72,"Mar 12th, 2003",2003,13.846153846153847
Athlon XP-M 2400+ (35W),1,1,1800,130.0,35,"Mar 12th, 2003",2003,13.846153846153847
Athlon XP-M 2400+,1,1,1800,130.0,45,"Mar 12th, 2003",2003,13.846153846153847
Athlon XP-M 2200+,1,1,1667,130.0,35,"Mar 12th, 2003",2003,12.823076923076924
Athlon XP-M 2200+,1,1,1667,130.0,27,"Jul 24th, 2004",2004,12.823076923076924
Athlon XP-M 2200+,1,1,1800,130.0,45,"Nov 11th, 2002",2002,13.846153846153847
Athlon XP-M 2000+ (35W),1,1,1533,130.0,35,"Jun 17th, 2003",2003,11.792307692307693
Athlon XP-M 2000+ (25W),1,1,1533,130.0,25,"Jun 17th, 2003",2003,11.792307692307693
Athlon XP-M 1800+ (25W),1,1,1400,130.0,25,"Mar 12th, 2003",2003,10.76923076923077
Athlon XP-M 1800+ (25W),1,1,1400,130.0,25,"Mar 12th, 2003",2003,10.76923076923077
Athlon XP 3200+ (400FSB),1,1,2200,130.0,77,"May 13th, 2003",2003,16.923076923076923
Athlon XP 3200+ (333FSB),1,1,2333,130.0,79,"May 13th, 2003",2003,17.946153846153845
Athlon XP 3100+,1,1,2200,130.0,68,"Dec 1st, 2003",2003,16.923076923076923
Athlon XP 3000+ (400FSB),1,1,2100,130.0,68,"May 13th, 2003",2003,16.153846153846153
Athlon XP 3000+ (333FSB),1,1,2167,130.0,68,"Feb 10th, 2003",2003,16.66923076923077
Athlon XP 2800+ DTR,1,1,2083,130.0,55,"Dec 29th, 2004",2004,16.023076923076925
Athlon XP 2800+,1,1,2083,130.0,68,"Feb 10th, 2003",2003,16.023076923076925
Athlon XP 2800+,1,1,2250,130.0,74,"Oct 1st, 2002",2002,17.307692307692307
Athlon XP 2700+,1,1,2167,130.0,68,"Oct 1st, 2002",2002,16.66923076923077
Athlon XP 2600+ DTR,1,1,1917,130.0,55,"Nov 19th, 2004",2004,14.746153846153845
Athlon XP 2600+,1,1,2083,130.0,68,"Aug 21st, 2002",2002,16.023076923076925
Athlon XP 2600+,1,1,2083,130.0,68,"Sep 1st, 2003",2003,16.023076923076925
Athlon XP 2600+,1,1,2133,130.0,68,"Oct 1st, 2002",2002,16.407692307692308
Athlon XP 2600+,1,1,2133,130.0,68,"Sep 1st, 2003",2003,16.407692307692308
Athlon XP 2600+,1,1,1917,130.0,68,"Sep 13th, 2003",2003,14.746153846153845
Athlon XP 2500+ DTR,1,1,1833,130.0,55,"Feb 10th, 2003",2003,14.1
Athlon XP 2500+,1,1,1833,130.0,68,"Feb 10th, 2003",2003,14.1
Athlon XP 2400+,1,1,2000,130.0,65,"Aug 21st, 2002",2002,15.384615384615385
Athlon XP 2400+,1,1,2000,130.0,68,"Aug 21st, 2002",2002,15.384615384615385
Athlon XP 2400+,1,1,2000,130.0,68,"Sep 1st, 2003",2003,15.384615384615385
Athlon XP 2400+,1,1,2000,130.0,68,"Sep 1st, 2003",2003,15.384615384615385
Athlon XP 2200+,1,1,1800,130.0,63,"Jan 1st, 2001",2001,13.846153846153847
Athlon XP 2200+,1,1,1800,130.0,68,"Jun 10th, 2002",2002,13.846153846153847
Athlon XP 2200+,1,1,1800,130.0,63,"Sep 1st, 2003",2003,13.846153846153847
Athlon XP 2200+,1,1,1800,130.0,63,"Sep 1st, 2003",2003,13.846153846153847
Athlon XP 2100+,1,1,1733,130.0,62,"Jan 1st, 2001",2001,13.330769230769231
Athlon XP 2100+,1,1,1733,180.0,72,"Mar 13th, 2002",2002,9.627777777777778
Athlon XP 2000+,1,1,1667,180.0,70,"Jan 7th, 2002",2002,9.261111111111111
Athlon XP 2000+,1,1,1667,130.0,60,"Jun 10th, 2002",2002,12.823076923076924
Athlon XP 2000+,1,1,1667,130.0,60,"Jun 10th, 2002",2002,12.823076923076924
Athlon XP 2000+,1,1,1667,130.0,60,"Sep 1st, 2003",2003,12.823076923076924
Athlon XP 2000+,1,1,1667,130.0,60,"Sep 1st, 2003",2003,12.823076923076924
Athlon XP 1900+,1,1,1600,130.0,53,"Jan 1st, 2001",2001,12.307692307692308
Athlon XP 1900+,1,1,1600,180.0,68,"Nov 5th, 2001",2001,8.88888888888889
Athlon XP 1800+,1,1,1533,130.0,51,"Jan 1st, 2001",2001,11.792307692307693
Athlon XP 1800+,1,1,1533,180.0,66,"Oct 9th, 2001",2001,8.516666666666667
Athlon XP 1800+,1,1,1533,130.0,51,"Jun 10th, 2002",2002,11.792307692307693
Athlon XP 1700+,1,1,1467,130.0,50,"Jan 1st, 2001",2001,11.284615384615385
Athlon XP 1700+,1,1,1467,130.0,50,"Jan 1st, 2001",2001,11.284615384615385
Athlon XP 1700+,1,1,1467,180.0,64,"Oct 9th, 2001",2001,8.15
Athlon XP 1600+,1,1,1400,180.0,63,"Oct 9th, 2001",2001,7.777777777777778
Athlon XP 1600+,1,1,1400,130.0,49,"Jan 1st, 2001",2001,10.76923076923077
Athlon XP 1500+,1,1,1333,180.0,60,"Oct 9th, 2001",2001,7.405555555555556
Athlon X4 970,4,4,4000,28.0,65,"Jul 27th, 2017",2017,571.4285714285714
Athlon X4 950,4,4,3800,28.0,65,"Jul 27th, 2017",2017,542.8571428571429
Athlon X4 940,4,4,3600,28.0,65,"Jul 27th, 2017",2017,514.2857142857143
Athlon X4 845,4,4,3800,28.0,65,"Feb 2nd, 2016",2016,542.8571428571429
Athlon X4 760K,4,4,4100,32.0,100,"Jun 1st, 2013",2013,512.5
Athlon X4 750K,4,4,4000,32.0,100,"Oct 2nd, 2012",2012,500.0
Athlon X4 750,4,4,4000,32.0,65,Oct 2013,2013,500.0
Athlon X4 740,4,4,3700,32.0,65,"Oct 2nd, 2012",2012,462.5
Athlon X4 730,4,4,3200,32.0,65,"Oct 2nd, 2012",2012,400.0
Athlon X2 QL-67,2,2,2200,65.0,35,"Dec 1st, 2008",2008,67.6923076923077
Athlon X2 QL-65,2,2,2100,65.0,35,"Dec 1st, 2008",2008,64.61538461538461
Athlon X2 QL-64,2,2,2100,65.0,35,"Dec 1st, 2008",2008,64.61538461538461
Athlon X2 QL-62,2,2,2000,65.0,25,"Sep 1st, 2008",2008,61.53846153846154
Athlon X2 QL-60,2,2,1900,65.0,35,"Jun 1st, 2008",2008,58.46153846153846
Athlon X2 7850 BE,2,2,2800,65.0,95,"Apr 28th, 2009",2009,86.15384615384616
Athlon X2 7750 BE,2,2,2700,65.0,95,"Dec 15th, 2008",2008,83.07692307692308
Athlon X2 7550,2,2,2500,65.0,95,"Dec 15th, 2008",2008,76.92307692307692
Athlon X2 7450,2,2,2400,65.0,95,"Dec 15th, 2008",2008,73.84615384615384
Athlon X2 6500 BE,2,2,2300,65.0,95,"Sep 8th, 2008",2008,70.76923076923077
Athlon X2 5050e,2,2,2600,65.0,45,"Oct 21st, 2008",2008,80.0
Athlon X2 4850e,2,2,2500,65.0,45,"Mar 5th, 2008",2008,76.92307692307692
Athlon X2 4450e,2,2,2300,65.0,45,"Apr 21st, 2008",2008,70.76923076923077
Athlon X2 4050e,2,2,2100,65.0,45,"Apr 21st, 2008",2008,64.61538461538461
Athlon X2 340,2,2,3600,32.0,65,"Oct 2nd, 2012",2012,225.0
Athlon II X4 651K,4,4,3000,32.0,100,"Nov 14th, 2011",2011,375.0
Athlon II X4 651,4,4,3000,32.0,100,"Nov 14th, 2011",2011,375.0
Athlon II X4 645,4,4,3100,45.0,95,"Sep 21st, 2010",2010,275.55555555555554
Athlon II X4 641,4,4,2800,32.0,100,"Feb 6th, 2012",2012,350.0
Athlon II X4 640,4,4,3000,45.0,95,"May 11th, 2010",2010,266.6666666666667
Athlon II X4 638,4,4,2700,32.0,65,"Feb 6th, 2012",2012,337.5
Athlon II X4 635,4,4,2900,45.0,95,"Jan 25th, 2010",2010,257.77777777777777
Athlon II X4 631,4,4,2600,32.0,100,"Aug 17th, 2011",2011,325.0
Athlon II X4 620e,4,4,2600,45.0,45,"May 3rd, 2011",2011,231.11111111111111
Athlon II X4 615e,4,4,2500,45.0,45,"Sep 21st, 2010",2010,222.22222222222223
Athlon II X4 610e,4,4,2400,45.0,45,"May 11th, 2010",2010,213.33333333333334
Athlon II X3 460,3,3,3400,45.0,95,"May 3rd, 2011",2011,226.66666666666666
Athlon II X3 455,3,3,3300,45.0,95,"Dec 7th, 2010",2010,220.0
Athlon II X3 450,3,3,3200,45.0,95,"Sep 21st, 2010",2010,213.33333333333334
Athlon II X3 445,3,3,3100,45.0,95,"May 11th, 2010",2010,206.66666666666666
Athlon II X3 440,3,3,3000,45.0,95,"Jan 25th, 2010",2010,200.0
Athlon II X3 435,3,3,2900,45.0,95,"Oct 9th, 2009",2009,193.33333333333334
Athlon II X3 425e,3,3,2700,45.0,45,"May 3rd, 2011",2011,180.0
Athlon II X3 425,3,3,2700,45.0,95,"Oct 20th, 2009",2009,180.0
Athlon II X3 420e,3,3,2600,45.0,45,"Sep 21st, 2010",2010,173.33333333333334
Athlon II X3 415e,3,3,2500,45.0,45,"May 11th, 2010",2010,166.66666666666666
Athlon II X3 405e,3,3,2300,45.0,45,"Oct 20th, 2009",2009,153.33333333333334
Athlon II X3 400e,3,3,2200,45.0,45,"Oct 20th, 2009",2009,146.66666666666666
Athlon II X2 280,2,2,3600,45.0,65,"Feb 6th, 2013",2013,160.0
Athlon II X2 270u,2,2,2000,45.0,25,"Sep 21st, 2010",2010,88.88888888888889
Athlon II X2 270,2,2,3400,45.0,65,"Jul 1st, 2011",2011,151.11111111111111
Athlon II X2 265,2,2,3300,45.0,65,"Sep 21st, 2010",2010,146.66666666666666
Athlon II X2 260u,2,2,1800,45.0,25,"Oct 20th, 2009",2009,80.0
Athlon II X2 260,2,2,3200,45.0,65,"May 11th, 2010",2010,142.22222222222223
Athlon II X2 255,2,2,3100,45.0,65,"Jan 25th, 2010",2010,137.77777777777777
Athlon II X2 250u,2,2,1600,45.0,25,"Oct 20th, 2009",2009,71.11111111111111
Athlon II X2 250e,2,2,3000,45.0,45,"Sep 21st, 2010",2010,133.33333333333334
Athlon II X2 250,2,2,3000,45.0,65,"Jun 2nd, 2009",2009,133.33333333333334
Athlon II X2 245e,2,2,2900,45.0,45,"May 11th, 2010",2010,128.88888888888889
Athlon II X2 245,2,2,2900,45.0,65,"Jul 23rd, 2009",2009,128.88888888888889
Athlon II X2 240e,2,2,2800,45.0,45,"Oct 20th, 2009",2009,124.44444444444444
Athlon II X2 240,2,2,2800,45.0,65,"Jul 23rd, 2009",2009,124.44444444444444
Athlon II X2 235e,2,2,2700,45.0,45,"Oct 20th, 2009",2009,120.0
Athlon II X2 220,2,2,2800,45.0,65,"Sep 21st, 2010",2010,124.44444444444444
Athlon II X2 215,2,2,2700,45.0,65,"Oct 20th, 2009",2009,120.0
Athlon II X2 210e,2,2,2600,45.0,45,"Sep 21st, 2010",2010,115.55555555555556
Athlon 950,1,1,950,180.0,52,"Jun 5th, 2000",2000,5.277777777777778
Athlon 900,1,1,900,180.0,50,"Jun 5th, 2000",2000,5.0
Athlon 850,1,1,850,180.0,47,"Jun 5th, 2000",2000,4.722222222222222
Athlon 800,1,1,800,180.0,45,"Jun 5th, 2000",2000,4.444444444444445
Athlon 750,1,1,750,180.0,43,"Jun 5th, 2000",2000,4.166666666666667
Athlon 700,1,1,700,180.0,40,"Jun 5th, 2000",2000,3.888888888888889
Athlon 650,1,1,650,180.0,38,"Jun 5th, 2000",2000,3.611111111111111
Athlon 64 X2 5800+,2,2,3000,65.0,89,"Apr 1st, 2008",2008,92.3076923076923
Athlon 64 X2 5600+,2,2,2800,90.0,89,"Dec 12th, 2006",2006,62.22222222222222
Athlon 64 X2 5600+,2,2,2900,65.0,65,"Feb 1st, 2008",2008,89.23076923076923
Athlon 64 X2 5400+ BE,2,2,2800,65.0,65,"Feb 1st, 2008",2008,86.15384615384616
Athlon 64 X2 5400+,2,2,2800,90.0,89,"Dec 12th, 2006",2006,62.22222222222222
Athlon 64 X2 5400+,2,2,2800,65.0,65,"Jan 1st, 2008",2008,86.15384615384616
Athlon 64 X2 5200+ EE,2,2,2600,90.0,65,"Sep 6th, 2006",2006,57.77777777777778
Athlon 64 X2 5200+,2,2,2600,90.0,89,"Sep 6th, 2006",2006,57.77777777777778
Athlon 64 X2 5000+ EE,2,2,2600,90.0,65,"Sep 6th, 2006",2006,57.77777777777778
Athlon 64 X2 5000+,2,2,2600,90.0,89,"May 23rd, 2006",2006,57.77777777777778
Athlon 64 X2 5000+,2,2,2600,65.0,65,"Dec 5th, 2006",2006,80.0
Athlon 64 X2 4800+ EE,2,2,2400,90.0,65,"May 23rd, 2006",2006,53.333333333333336
Athlon 64 X2 4800+,2,2,2400,90.0,89,"May 23rd, 2006",2006,53.333333333333336
Athlon 64 X2 4800+,2,2,2400,90.0,110,"May 23rd, 2006",2006,53.333333333333336
Athlon 64 X2 4800+,2,2,2500,65.0,65,"Dec 5th, 2006",2006,76.92307692307692
Athlon 64 X2 4600+ EE,2,2,2400,90.0,65,"May 23rd, 2006",2006,53.333333333333336
Athlon 64 X2 4600+,2,2,2400,90.0,89,"May 23rd, 2006",2006,53.333333333333336
Athlon 64 X2 4600+,2,2,2400,90.0,110,"May 23rd, 2006",2006,53.333333333333336
Athlon 64 X2 4600+,2,2,2400,90.0,89,"May 23rd, 2006",2006,53.333333333333336
Athlon 64 X2 4600+,2,2,2400,65.0,65,"Apr 22nd, 2008",2008,73.84615384615384
Athlon 64 X2 4400+ EE,2,2,2200,90.0,65,"May 23rd, 2006",2006,48.888888888888886
Athlon 64 X2 4400+,2,2,2200,90.0,110,"May 23rd, 2006",2006,48.888888888888886
Athlon 64 X2 4400+,2,2,2200,90.0,89,"May 23rd, 2006",2006,48.888888888888886
Athlon 64 X2 4400+,2,2,2300,65.0,65,"Dec 5th, 2006",2006,70.76923076923077
Athlon 64 X2 4200+ EE,2,2,2200,90.0,65,"May 23rd, 2006",2006,48.888888888888886
Athlon 64 X2 4200+,2,2,2200,65.0,65,"Dec 1st, 2006",2006,67.6923076923077
Athlon 64 X2 4200+,2,2,2200,90.0,89,"May 23rd, 2006",2006,48.888888888888886
Athlon 64 X2 4200+,2,2,2200,90.0,89,"May 23rd, 2006",2006,48.888888888888886
Athlon 64 X2 4200+,2,2,2200,90.0,89,"May 23rd, 2006",2006,48.888888888888886
Athlon 64 X2 4000+ EE,2,2,2000,90.0,65,"May 23rd, 2006",2006,44.44444444444444
Athlon 64 X2 4000+,2,2,2100,65.0,65,"Dec 5th, 2006",2006,64.61538461538461
Athlon 64 X2 4000+,2,2,2000,90.0,89,"May 23rd, 2006",2006,44.44444444444444
Athlon 64 X2 3800+ EE SFF,2,2,2000,90.0,35,"May 23rd, 2006",2006,44.44444444444444
Athlon 64 X2 3800+ EE,2,2,2000,90.0,65,"May 23rd, 2006",2006,44.44444444444444
Athlon 64 X2 3800+,2,2,2000,90.0,89,"Aug 1st, 2005",2005,44.44444444444444
Athlon 64 X2 3800+,2,2,2000,90.0,89,"Aug 1st, 2005",2005,44.44444444444444
Athlon 64 X2 3800+,2,2,2000,90.0,89,"May 23rd, 2006",2006,44.44444444444444
Athlon 64 X2 3600+ EE,2,2,2000,90.0,65,"Aug 1st, 2006",2006,44.44444444444444
Athlon 64 X2 3600+,2,2,1900,65.0,65,"Dec 5th, 2006",2006,58.46153846153846
Athlon 64 X2 3600+,2,2,2000,90.0,89,"Jan 1st, 2001",2001,44.44444444444444
Athlon 64 LE-1660,1,1,2800,65.0,45,"May 1st, 2008",2008,43.07692307692308
Athlon 64 LE-1640B,1,1,2700,65.0,45,"Apr 28th, 2008",2008,41.53846153846154
Athlon 64 LE-1640,1,1,2600,90.0,45,"Jan 7th, 2009",2009,28.88888888888889
Athlon 64 LE-1640,1,1,2600,90.0,45,"Oct 8th, 2007",2007,28.88888888888889
Athlon 64 LE-1640,1,1,2700,65.0,45,"Apr 1st, 2008",2008,41.53846153846154
Athlon 64 LE-1620,1,1,2400,90.0,45,"Oct 8th, 2007",2007,26.666666666666668
Athlon 64 LE-1620,1,1,2400,90.0,45,"Oct 8th, 2007",2007,26.666666666666668
Athlon 64 LE-1600,1,1,2200,90.0,45,"Oct 8th, 2007",2007,24.444444444444443
Athlon 64 LE-1600,1,1,2200,90.0,45,"Oct 8th, 2007",2007,24.444444444444443
Athlon 64 FX-76,2,2,3200,90.0,125,"Nov 1st, 2006",2006,71.11111111111111
Athlon 64 FX-74,2,2,3000,90.0,125,"Nov 30th, 2006",2006,66.66666666666667
Athlon 64 FX-72,2,2,2800,90.0,125,"Nov 30th, 2006",2006,62.22222222222222
Athlon 64 FX-70,2,2,2600,90.0,125,"Nov 30th, 2006",2006,57.77777777777778
Athlon 64 FX-62,2,2,2800,90.0,125,"May 23rd, 2006",2006,62.22222222222222
Athlon 64 FX-60,2,2,2600,90.0,110,"Jan 9th, 2006",2006,57.77777777777778
Athlon 64 FX-57,1,1,2800,90.0,104,"Jun 27th, 2005",2005,31.11111111111111
Athlon 64 FX-55,1,1,2600,90.0,104,"Oct 10th, 2004",2004,28.88888888888889
Athlon 64 FX-55,1,1,2600,130.0,104,"Oct 10th, 2004",2004,20.0
Athlon 64 FX-53,1,1,2400,130.0,89,"Jun 1st, 2004",2004,18.46153846153846
Athlon 64 FX-51,1,1,2200,130.0,89,"Sep 23rd, 2003",2003,16.923076923076923
Athlon 64 4000+ (F3),1,1,2600,90.0,59,"Feb 20th, 2007",2007,28.88888888888889
Athlon 64 4000+,1,1,2400,90.0,89,"Jan 1st, 2001",2001,26.666666666666668
Athlon 64 4000+,1,1,2400,130.0,89,"Oct 19th, 2004",2004,18.46153846153846
Athlon 64 4000+,1,1,2400,90.0,89,"Oct 19th, 2004",2004,26.666666666666668
Athlon 64 4000+,1,1,2600,130.0,62,"Aug 16th, 2005",2005,20.0
Athlon 64 4000+,1,1,2600,90.0,62,"Feb 20th, 2007",2007,28.88888888888889
Athlon 64 3800+ (F3),1,1,2400,90.0,59,"Feb 20th, 2007",2007,26.666666666666668
Athlon 64 3800+,1,1,2400,130.0,89,"Jun 1st, 2004",2004,18.46153846153846
Athlon 64 3800+,1,1,2400,130.0,89,"Jun 1st, 2004",2004,18.46153846153846
Athlon 64 3800+,1,1,2400,90.0,89,"Apr 4th, 2005",2005,26.666666666666668
Athlon 64 3800+,1,1,2400,90.0,62,"May 23rd, 2006",2006,26.666666666666668
Athlon 64 3800+,1,1,2400,90.0,62,"Feb 20th, 2007",2007,26.666666666666668
Athlon 64 3800+,1,1,2400,65.0,45,"Feb 20th, 2007",2007,36.92307692307692
Athlon 64 3700+,1,1,2200,90.0,89,"May 11th, 2005",2005,24.444444444444443
Athlon 64 3700+,1,1,2400,130.0,89,"Jun 1st, 2004",2004,18.46153846153846
Athlon 64 3700+,1,1,2400,130.0,83,"Apr 14th, 2005",2005,18.46153846153846
Athlon 64 3600+,1,1,2400,130.0,89,"Jun 1st, 2004",2004,18.46153846153846
Athlon 64 3500+ EE,1,1,2200,90.0,35,"Feb 20th, 2007",2007,24.444444444444443
Athlon 64 3500+ (F3),1,1,2200,90.0,59,"Feb 20th, 2007",2007,24.444444444444443
Athlon 64 3500+,1,1,2200,90.0,67,"Jan 1st, 2001",2001,24.444444444444443
